City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,santa ines,-3.6667,-45.38,87.82,65,88,1.14,BR,1681916058
269,port sudan,19.6175,37.2164,82.87,55,0,9.06,SD,1681916059
270,puerto aysen,-45.4,-72.7,55.44,94,100,6.91,CL,1681916059
271,villa de arista,22.65,-100.8333,68.97,52,78,2.64,MX,1681916060
272,brookings,44.3114,-96.7984,50.34,87,75,11.5,US,1681916060
273,lucheng,31.2336,117.2806,70.03,82,68,5.5,CN,1681916061
274,sitangkai,4.6628,119.3928,83.95,75,21,6.08,PH,1681916061
275,idaho falls,43.4666,-112.0341,29.57,74,75,19.57,US,1681916062
276,praia da vitoria,38.7333,-27.0667,62.85,88,40,35.5,PT,1681916062
277,galliano,29.4422,-90.2992,75.2,60,0,13.8,US,1681916062
278,fort saskatchewan,53.7168,-113.2187,36.59,89,100,10.0,CA,1681916063
279,monticello,45.3055,-93.7941,39.54,88,100,13.8,US,1681915907
280,ribeira brava,32.65,-17.0667,72.23,70,46,2.01,PT,1681916064
281,gapyeong,37.831,127.5106,55.71,55,0,3.24,KR,1681916064
282,kodiak,57.79,-152.4072,33.31,55,100,16.11,US,1681916064
283,isangel,-19.55,169.2667,77.31,80,73,5.1,VU,1681916065
284,camana,-16.6228,-72.7111,73.29,69,42,7.67,PE,1681916065
285,dryden,49.7833,-92.7503,28.69,40,75,9.22,CA,1681916066
286,deori khas,23.4,79.0167,92.86,16,28,7.07,IN,1681916066
287,hasaki,35.7333,140.8333,61.29,87,100,13.24,JP,1681916067
288,vorkuta,67.5,64.0,24.17,96,99,8.52,RU,1681916067
289,tekirdag,40.978,27.5085,58.35,75,70,9.75,TR,1681915960
290,presov,49.1667,21.25,55.36,80,94,7.61,SK,1681916068
291,alzamay,55.5562,98.6644,16.45,55,49,6.04,RU,1681916068
292,codrington,-38.2667,141.9667,50.25,85,39,6.49,AU,1681916062
293,ystad,55.4297,13.8204,56.14,52,1,23.98,SE,1681916069
294,alagon,41.7696,-1.1191,78.62,33,0,6.91,ES,1681916070
295,weno,7.4515,151.8468,79.02,86,100,23.53,FM,1681916070
296,mount gambier,-37.8333,140.7667,53.01,79,70,3.51,AU,1681916070
297,ha'il,27.5219,41.6907,84.22,24,40,9.22,SA,1681915956
298,san antonio,29.4241,-98.4936,72.05,87,100,13.8,US,1681915823
299,muntok,-2.0667,105.1833,80.37,83,88,5.86,ID,1681916071
300,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,70,75,11.18,RU,1681916071
301,utena,55.5,25.6,54.86,70,100,14.25,LT,1681916072
302,bayanhongor,46.7167,100.1167,21.31,20,0,5.19,MN,1681916072
303,sonepur,20.8333,83.9167,95.49,14,0,2.1,IN,1681916072
304,east london,-33.0153,27.9116,86.94,58,0,4.61,ZA,1681916073
305,joshimath,30.5667,79.5667,60.03,66,100,0.27,IN,1681916073
306,conception bay south,47.4999,-52.9981,38.55,82,100,14.65,CA,1681916074
307,panaba,21.2833,-88.2667,83.34,39,0,9.51,MX,1681916075
308,soritor,-6.1392,-77.1039,77.41,80,54,1.95,PE,1681916075
309,muynoq,43.7683,59.0214,54.3,46,38,15.21,UZ,1681916076
310,kaiserslautern,49.45,7.75,60.46,45,40,14.97,DE,1681916077
311,azovo,54.6997,73.0237,28.15,32,9,6.31,RU,1681916080
312,ephrata,40.1798,-76.1788,55.15,52,0,14.97,US,1681915980
313,ain sukhna,29.6002,32.3167,86.2,31,100,13.85,EG,1681916081
314,diego de almagro,-26.3667,-70.05,76.8,12,0,4.7,CL,1681916081
315,san jose del cabo,23.0589,-109.6977,73.6,79,96,3.0,MX,1681916082
316,choyr,46.3611,108.3611,29.73,19,59,3.96,MN,1681916082
317,xiaoweizhai,26.1903,107.5125,67.23,88,27,3.78,CN,1681916082
318,safotu,-13.4513,-172.4018,82.51,82,100,16.35,WS,1681916082
319,watsa,3.0372,29.5355,85.28,46,85,4.7,CD,1681916083
320,dwarka,22.2394,68.9678,82.17,66,14,13.76,IN,1681916083
321,la quiaca,-22.1024,-65.593,53.47,14,0,5.44,AR,1681916083
322,nova vicosa,-17.8919,-39.3719,91.44,55,8,6.53,BR,1681916083
323,ekibastuz,51.6667,75.3667,24.8,70,0,2.53,KZ,1681916084
324,nizhniy odes,63.6445,54.856,32.7,96,100,5.53,RU,1681916084
325,miyaly,48.8844,53.7836,55.71,39,82,8.23,KZ,1681916084
326,akureyri,65.6835,-18.0878,60.73,48,40,12.66,IS,1681916084
327,touros,-5.1989,-35.4608,86.16,66,79,11.56,BR,1681916045
328,belomorsk,64.5232,34.7668,37.2,98,100,10.69,RU,1681916085
329,remire-montjoly,4.9167,-52.2667,75.24,100,75,6.91,GF,1681916085
330,karratha,-20.7377,116.8463,78.39,39,60,9.08,AU,1681916085
331,tura,25.5198,90.2201,83.55,22,0,4.92,IN,1681916085
332,tempio pausania,40.8974,9.1035,61.72,53,67,4.97,IT,1681916086
333,woodward,36.4337,-99.3904,72.97,40,0,16.11,US,1681916086
334,plastun,44.7561,136.2939,44.62,74,100,2.44,RU,1681916087
335,kapuskasing,49.4169,-82.4331,21.29,79,100,11.5,CA,1681915982
336,aykhal,66.0,111.5,5.92,100,94,6.2,RU,1681916087
337,cole harbour,44.6724,-63.4751,54.18,78,75,12.66,CA,1681916087
338,twon-brass,4.3151,6.2418,84.79,75,79,12.24,NG,1681916024
339,alo,7.4178,6.7371,99.66,37,76,3.44,NG,1681916088
340,les avirons,-21.2418,55.3394,78.89,69,0,6.91,RE,1681916088
341,puerto princesa,9.7392,118.7353,81.81,78,49,3.13,PH,1681916088
342,pacific grove,36.6177,-121.9166,48.42,86,0,8.01,US,1681916089
343,al wajh,26.2455,36.4525,89.55,33,20,3.44,SA,1681916089
344,wenji,8.45,39.2833,80.92,32,30,10.76,ET,1681916089
345,nikolayevsk-on-amure,53.1406,140.73,32.11,96,99,1.88,RU,1681915906
346,georgetown,5.4112,100.3354,85.93,78,40,3.44,MY,1681915908
347,buurhakaba,2.8026,44.0781,88.3,52,89,3.78,SO,1681916090
348,mendota,36.7536,-120.3816,44.33,65,0,9.1,US,1681916090
349,nova sintra,14.8667,-24.7167,67.93,78,100,22.84,CV,1681916090
350,saint-philippe,-21.3585,55.7679,81.99,84,69,11.99,RE,1681916090
351,lepsy,46.235,78.9456,45.48,28,68,2.68,KZ,1681916090
352,quellon,-43.1167,-73.6167,55.65,100,100,5.75,CL,1681916091
353,aktobe,50.2797,57.2072,57.29,23,0,0.0,KZ,1681916091
354,nar'yan-mar,67.6713,53.087,29.28,92,100,13.18,RU,1681916091
355,tazacorte,28.629,-17.9293,68.97,77,75,12.66,ES,1681916092
356,sickte,52.2185,10.6424,55.56,38,0,10.36,DE,1681916092
357,san angelo,31.4638,-100.437,75.58,69,75,19.57,US,1681916041
358,gharyan,32.1722,13.0203,82.22,14,71,6.22,LY,1681916093
359,yaren,-0.5472,166.916,83.19,76,48,11.99,NR,1681916093
360,chegdomyn,51.1167,133.0167,32.02,61,99,3.58,RU,1681916093
361,konarka,19.9,86.1167,88.2,78,13,12.82,IN,1681916093
362,chateaudun,48.0833,1.3333,67.95,58,0,14.05,FR,1681916094
363,pizarro,4.9533,-77.366,83.41,72,100,2.3,CO,1681916094
364,hudson falls,43.3006,-73.586,43.38,66,100,11.5,US,1681916096
